english,myanmar
MIN,မင်း
Ming,မင်
Minh,မင်း
MINN,မင်း
MINTHA,မင်းသား
MINTHAME,မင်းသမီး
MINTHAMEE,မင်းသမီး
MINTHAR,မင်းသား
MINUS,မိုင်နပ်(စ်)
MITCHELL,မစ်ချဲလ်
MO,မို
MOE,မိုး
MOEE,မိုး
MOET,မို့
MOEZET,မိုးဇက်
MOH,မို့
MOHT,မို့
MOKOENA,မိုကိုနာ
MON,မွန်
MONE,မုံ
MONG,မောင်
MOO,မူး
MOON,မွန်း
MORRIS,မောရစ်
MOS,မောစ်
MOSES,မိုးဇက်
MOTH,မို့
Moung,မောင်
MRA,မရ
MRAT,မရတ်
MRATT,မာရတ်
MU,မူ
MUAN,မုန်
MULE,မူလီ
MUNG,မောင်
MURRAY,မာရေး
MUYA,မူယာ
MUYAR,မူယာ
MWE,မွေ
MYA,မြ
MYAE,မြေ့
MYAING,မြိုင်
MYAT,မြတ်
MYERS,မိုင်ရာ
MYING,မြိုင်
MYINT,မြင့်
MYINTZU,မဉ္ဇူ
MYITTA,မေတ္တာ
MYO,မျိုး
MYOE,မျိုး
MYOT,မြို့
MYU,မြူ
N,အန်
NA,န
NADI,နန္ဒီ
NAI,နိုင်
NAING,နိုင်
NAN,နန်း
NANDA,နန္ဒ
NANDAR,နန္ဒာ
NANG,နန်း
NANN,နန်း
NANT,နန့်
NAR,နာ
NARI,နရီ
NARY,နရီ
NAT,နတ်
NATT,နတ်
NAUNG,နောင်
NAUNT,နောင့်
NAW,နော်
NAY,နေ
NAYCHI,နေခြည်
NE,နေ
NEVILLE,နဗီး
NEW,နွယ်
NGA,င
NGAI,ငိုင်
NGAIH,ငိုက်
NGAUN,ငေါင်း
NGE,ငယ်
NGON,ငုံ
NGONE,ငုံ
NGU,ငု
NGUN,ငွန်း
NGUWAR,ငုဝါ
NGWAY,ငွေ
NGWE,ငွေ
NI,နီ
NIANG,ညောင်
NILAR,နီလာ
NO,နို
NOE,နို
NOI,နွယ်
NOL,နို
NON,နွံ
NOON,နွမ်
NORAH,နိုရာ
NORRIS,နောရစ်
Noung,နောင်
NOUNT,နောင့်
NU,နု
NUAM,နွမ်း
NUU,နူး
NUYI,နုရီ
NWAE,နွေ
NWAI,နွေ
NWAY,နွေ
NWE,နွယ်
NWEL,နွယ်
NWENI,နွယ်နီ
NWET,နွဲ့
NWEY,နွေး
NYA,ည
NYAN,ဉာဏ်
NYANG,ညောင်
NYAR,ညာ
NYARNA,ညာဏ
NYAUNG,ညောင်
NYEIN,ငြိမ်း
NYEINT,ငြိမ့်
NYI,ညီ
NYO,ညို
NYUNT,ညွန့်
O,အို
OAK,အုပ်
OAKAR,ဥက္ကာ
OAKCA,ဥက္ကာ
OAKKA,ဥက္ကာ
OAM,အွမ်
OAT,အုပ်
OHM,အုန်း
OHMM,အုန်း
OHMMAR,ဥမ္မာ
OHN,အုန်း
OHNMA,ဥမ္မာ
OHNMAR,ဥမ္မာ
OKAR,ဥက္ကာ
OKCA,ဥက္ကာ
OKKA,ဥက္ကာ
OKKAR,ဥက္ကာ
OLSON,အိုးဆန်
ONG,အွမ်
OO,ဦး
OR,အော်
OSCAR,အော်စကာ
OU,ဥ
P,ပီ
PA,ပ
PADAUK,ပိတောက်
PAI,ပိုင်
PAIK,ပိုက်
PAIKE,ပိုက်
PAING,ပိုင်
PALAE,ပုလဲ
PALE,ပုလဲ
PAN,ပန်း
PANN,ပန်း
PAR,ပါ
PARAMI,ပါရမီ
PAU,ပေါင်
PAUK,ပေါက်
PAUL,ပေါလ်
PAUNG,ပေါင်
PAW,ပေါ်
PAY,ပေ
PE,ဖေ
PETER,ပီတာ
PETERS,ပီတာ
PHA,ဖ
PHAE,ပြည့်
PHAN,ဖန်
PHANT,ဖန့်
PHAUNG,ဖောင်း
PHAW,ဖော
PHAY,ဖေ
PHE,ဖယ်
PHEE,ဖီး
PHEY,ဖေ
PHI,ဖီ
PHILIP,ဖီလစ်
PHO,ဖိုး
PHOE,ဖိုး
PHONE,ဖုန်း
PHONG,ဖောင်
PHOO,ဖူး
PHOUNG,ဖောင်း
PHU,ဖူး
PHUE,ဖူး
PHUU,ဖြူး
PHWA,ဖွား
PHWAR,ဖွား
PHWAY,ဖွေး
PHYAR,ဖြာ
PHYO,ဖြိုး
PHYOE,ဖြိုး
PHYU,ဖြူ
PI,ပီး
PIERZYNSKI,ပယ်ရီဇိုင်စကီ
PIN,ပင်
PING,ပင်း
PINKY,ပင်ကီ
PO,ပို
POE,ပိုး
POEEI,ပိုးအိ
PON,ပုံ
PONE,ပုံ
PONNYA,ပုည
PONYA,ပုည
Pradeep,ပရာဒီပ်
PRICE,ပရိုက်
PU,ပု
PWA,ပွ
PWAR,ပွား
PWE,ပွယ်
PWINT,ပွင့်
PYAE,ပြည့်
PYAN,ပျံ
PYAR,ပြာ
PYAW,ပျော်
PYAY,ပြေ
PYEI,ပြည့်
